Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
2Y,"EMA(12/21) | Pivot(5,7)",23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
2Y,"EMA(12/21) | Pivot(5,5)",23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
3Y,"EMA(12/50) | SL:10% | Pivot(5,5)",29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,"EMA(12/50) | SL:10% | Pivot(5,7)",29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,"EMA(12/50) | SL:10% | Pivot(7,5)",29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,"EMA(12/50) | SL:10% | Pivot(7,7)",29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,EMA(12/50) | SL:10%,29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,EMA(12/50) | SL:10%,29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,EMA(12/50) | SL:10%,29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,EMA(12/50) | SL:10%,29693.00712088327,196.93007120883271,43.76703167708183,-37.867399103124846,1.029468409567638,30,76.57426109105968,120.35581011777305
3Y,EMA(9/21) | SL:15%,29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,EMA(9/21) | SL:15%,29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,EMA(9/21) | SL:15%,29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,EMA(9/21) | SL:15%,29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,"EMA(9/21) | SL:15% | Pivot(7,7)",29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,"EMA(9/21) | SL:15% | Pivot(7,5)",29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,"EMA(9/21) | SL:15% | Pivot(5,7)",29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
3Y,"EMA(9/21) | SL:15% | Pivot(5,5)",29690.73257683808,196.9073257683808,43.76335812107073,-37.79302921598048,1.0630448236443126,16,76.55151565060773,120.35581011777305
2Y,EMA(12/21) | SL:15%,23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,EMA(12/21) | SL:15%,23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,EMA(12/21) | SL:15%,23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,EMA(12/21) | SL:15%,23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,"EMA(12/21) | SL:15% | Pivot(7,7)",23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,"EMA(12/21) | SL:15% | Pivot(7,5)",23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,"EMA(12/21) | SL:15% | Pivot(5,7)",23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
2Y,"EMA(12/21) | SL:15% | Pivot(5,5)",23576.284375331503,135.76284375331502,53.59081351629571,-36.55899194564099,1.2425563461493792,9,76.27079717846695,59.49204657484807
